start,stop,start_timestamp,stop_timestamp,duration,description,project_id,project_name,local_timezone
2024-12-29T03:23:35+00:00,2024-12-29T04:20:19+00:00,1735442615,1735446019,3404,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-29T04:30:13+00:00,2024-12-29T04:45:46+00:00,1735446613,1735447546,933,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-29T06:06:23+00:00,2024-12-29T06:52:48+00:00,1735452383,1735455168,2785,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-29T08:09:02+00:00,2024-12-29T09:15:27+00:00,1735459742,1735463727,3985,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-29T11:32:09+00:00,2024-12-29T12:27:09+00:00,1735471929,1735475229,3300,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-30T03:14:07+00:00,2024-12-30T04:50:11+00:00,1735528447,1735534211,5764,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-30T08:24:07+00:00,2024-12-30T09:36:08+00:00,1735547047,1735551368,4321,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-31T03:37:11+00:00,2024-12-31T06:17:24+00:00,1735616231,1735625844,9613,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-31T11:34:51+00:00,2024-12-31T12:09:20+00:00,1735644891,1735646960,2069,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2024-12-31T13:13:07+00:00,2024-12-31T15:16:15+00:00,1735650787,1735658175,7388,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-01T05:21:25+00:00,2025-01-01T06:39:49+00:00,1735708885,1735713589,4704,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-01T06:41:48+00:00,2025-01-01T07:05:48+00:00,1735713708,1735715148,1440,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-01T10:03:14+00:00,2025-01-01T11:32:11+00:00,1735725794,1735731131,5337,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-01T12:56:47+00:00,2025-01-01T15:02:00+00:00,1735736207,1735743720,7513,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-02T04:30:14+00:00,2025-01-02T06:08:49+00:00,1735792214,1735798129,5915,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-02T08:08:23+00:00,2025-01-02T08:54:23+00:00,1735805303,1735808063,2760,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-02T09:29:59+00:00,2025-01-02T11:39:58+00:00,1735810199,1735817998,7799,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-02T14:49:50+00:00,2025-01-02T15:09:26+00:00,1735829390,1735830566,1176,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-02T17:48:51+00:00,2025-01-02T19:29:31+00:00,1735840131,1735846171,6040,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-03T04:10:13+00:00,2025-01-03T05:48:50+00:00,1735877413,1735883330,5917,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-03T07:17:03+00:00,2025-01-03T08:10:03+00:00,1735888623,1735891803,3180,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
2025-01-03T08:17:30+00:00,2025-01-03T08:58:24+00:00,1735892250,1735894704,2454,sersavn.github.io,208235332,Career Advancement Toolkit,7.0
